,response,numConf,qualConf,socialAnswer,socialNumConf,socialQualConf,answer,states,id,gender,politics,education,age,socialSize,socialInfo,correct_start,difficulty,pol_recode,gender_recode,edu_recode,age_recode,id_recode,state_recode
14,False,100.0,It is certainly correct,True,91.0,It is probably correct,True,ND,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,3.0,72.0,False,0.7361111111111112,1,2,1,3,154,27
15,True,100.0,It is certainly correct,False,95.0,It is probably correct,True,OK,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,6.0,67.0,True,0.8481012658227848,1,2,1,3,154,35
18,False,64.0,It is probably correct,True,93.0,It is certainly correct,True,NH,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,7.0,83.0,False,0.7560975609756098,1,2,1,3,154,29
19,True,100.0,It is certainly correct,False,96.0,It is certainly correct,True,IA,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,4.0,60.0,True,0.9014084507042254,1,2,1,3,154,11
0,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,TX,718726a6-b818-cc70-7abe-10ac250e157b,Female,Conservative,College,55-64,9.0,40.0,True,0.8095238095238095,2,2,2,5,173,42
7,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NY,718726a6-b818-cc70-7abe-10ac250e157b,Female,Conservative,College,55-64,9.0,16.0,True,0.8461538461538461,2,2,2,5,173,33
9,True,93.0,It is certainly correct,True,97.0,It is probably correct,True,AZ,718726a6-b818-cc70-7abe-10ac250e157b,Female,Conservative,College,55-64,2.0,15.0,True,0.8555555555555555,2,2,2,5,173,3
10,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,MT,718726a6-b818-cc70-7abe-10ac250e157b,Female,Conservative,College,55-64,7.0,56.0,True,0.7865168539325843,2,2,2,5,173,25
11,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,SD,718726a6-b818-cc70-7abe-10ac250e157b,Female,Conservative,College,55-64,12.0,34.0,True,0.7027027027027027,2,2,2,5,173,40
13,False,69.0,I am unsure if it is correct,False,69.0,I am unsure if it is correct,True,IN,718726a6-b818-cc70-7abe-10ac250e157b,Female,Conservative,College,55-64,9.0,67.0,False,0.9047619047619048,2,2,2,5,173,13
14,True,58.0,It is probably correct,True,67.0,It is probably correct,True,Il,718726a6-b818-cc70-7abe-10ac250e157b,Female,Conservative,College,55-64,12.0,40.0,True,0.7866666666666666,2,2,2,5,173,14
16,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NC,718726a6-b818-cc70-7abe-10ac250e157b,Female,Conservative,College,55-64,4.0,53.0,True,0.8170731707317073,2,2,2,5,173,26
18,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NV,718726a6-b818-cc70-7abe-10ac250e157b,Female,Conservative,College,55-64,7.0,4.0,True,0.7142857142857143,2,2,2,5,173,32
2,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NE,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,12.0,6.0,True,0.7625,3,2,2,4,321,28
5,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,MT,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,10.0,83.0,True,0.7865168539325843,3,2,2,4,321,25
7,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,WA,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,2.0,48.0,True,0.6944444444444444,3,2,2,4,321,46
8,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,SD,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,15.0,0.0,True,0.7027027027027027,3,2,2,4,321,40
9,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,WY,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,4.0,72.0,True,0.7922077922077922,3,2,2,4,321,49
11,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NJ,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,12.0,96.0,True,0.7045454545454546,3,2,2,4,321,30
14,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,PA,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,8.0,65.0,True,0.6865671641791045,3,2,2,4,321,37
16,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NM,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,15.0,64.0,True,0.7671232876712328,3,2,2,4,321,31
17,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NY,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,8.0,46.0,True,0.8461538461538461,3,2,2,4,321,33
19,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,OR,c70dadfd-191b-4729-f0e5-9b26a31c8727,Female,Moderate,College,45-54,10.0,1.0,True,0.7126436781609196,3,2,2,4,321,36
0,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NM,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,11.0,91.0,True,0.7671232876712328,3,2,2,5,206,31
3,False,100.0,It is certainly correct,True,100.0,It is certainly correct,True,SC,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,10.0,82.0,False,0.7777777777777778,3,2,2,5,206,39
4,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,AL,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,7.0,30.0,True,0.7926829268292683,3,2,2,5,206,1
6,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,Hi,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,9.0,31.0,True,0.8701298701298701,3,2,2,5,206,10
9,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,IN,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,9.0,11.0,True,0.9047619047619048,3,2,2,5,206,13
10,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,AR,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,14.0,0.0,True,0.8253968253968254,3,2,2,5,206,2
11,False,100.0,It is certainly correct,False,100.0,It is certainly correct,True,TN,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,1.0,85.0,False,0.8082191780821918,3,2,2,5,206,41
14,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,ME,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,8.0,77.0,True,0.6941176470588235,3,2,2,5,206,20
16,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,WA,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,11.0,16.0,True,0.6944444444444444,3,2,2,5,206,46
18,True,100.0,It is probably correct,True,100.0,It is certainly correct,True,CT,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,8.0,73.0,True,0.8472222222222222,3,2,2,5,206,6
19,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,AK,833250b8-396e-ba27-cfa0-6619a879b465,Female,Moderate,College,55-64,13.0,84.0,True,0.8108108108108109,3,2,2,5,206,0
4,True,98.0,It is probably correct,True,100.0,It is certainly correct,True,NJ,46bd95a8-691f-7f21-40b0-a396f708777d,Female,Very Liberal,College,25-34,6.0,27.0,True,0.7045454545454546,5,2,2,2,106,30
5,True,90.0,It is probably correct,True,97.0,It is probably correct,True,LA,46bd95a8-691f-7f21-40b0-a396f708777d,Female,Very Liberal,College,25-34,13.0,6.0,True,0.8142857142857143,5,2,2,2,106,17
9,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,WV,46bd95a8-691f-7f21-40b0-a396f708777d,Female,Very Liberal,College,25-34,12.0,48.0,True,0.8227848101265823,5,2,2,2,106,48
10,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,MD,46bd95a8-691f-7f21-40b0-a396f708777d,Female,Very Liberal,College,25-34,2.0,47.0,True,0.7261904761904762,5,2,2,2,106,19
11,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,DE,46bd95a8-691f-7f21-40b0-a396f708777d,Female,Very Liberal,College,25-34,3.0,52.0,True,0.7764705882352941,5,2,2,2,106,7
13,True,100.0,It is certainly correct,True,62.0,I am unsure if it is correct,True,MS,46bd95a8-691f-7f21-40b0-a396f708777d,Female,Very Liberal,College,25-34,2.0,0.0,True,0.881578947368421,5,2,2,2,106,24
16,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,IA,46bd95a8-691f-7f21-40b0-a396f708777d,Female,Very Liberal,College,25-34,3.0,3.0,True,0.9014084507042254,5,2,2,2,106,11
3,True,83.0,I am unsure if it is correct,False,83.0,It is probably correct,True,MA,583f01a3-faf2-eb24-c2bb-3714cbf3e474,Female,Very Conservative,Some College,25-34,13.0,91.0,True,0.821917808219178,1,2,3,2,138,18
4,True,85.0,It is probably correct,False,83.0,I am unsure if it is correct,True,NM,583f01a3-faf2-eb24-c2bb-3714cbf3e474,Female,Very Conservative,Some College,25-34,1.0,68.0,True,0.7671232876712328,1,2,3,2,138,31
12,False,91.0,I am unsure if it is correct,True,80.0,I am unsure if it is correct,True,TX,583f01a3-faf2-eb24-c2bb-3714cbf3e474,Female,Very Conservative,Some College,25-34,11.0,97.0,False,0.8095238095238095,1,2,3,2,138,42
13,True,83.0,I am unsure if it is correct,False,92.0,I am unsure if it is correct,True,TN,583f01a3-faf2-eb24-c2bb-3714cbf3e474,Female,Very Conservative,Some College,25-34,6.0,8.0,True,0.8082191780821918,1,2,3,2,138,41
15,False,79.0,I am unsure if it is correct,False,86.0,I am unsure if it is correct,True,KY,583f01a3-faf2-eb24-c2bb-3714cbf3e474,Female,Very Conservative,Some College,25-34,1.0,25.0,False,0.6029411764705882,1,2,3,2,138,16
16,False,79.0,I am unsure if it is correct,False,85.0,It is probably correct,True,IA,583f01a3-faf2-eb24-c2bb-3714cbf3e474,Female,Very Conservative,Some College,25-34,1.0,78.0,False,0.9014084507042254,1,2,3,2,138,11
18,False,79.0,It is probably correct,False,86.0,I am unsure if it is correct,True,OR,583f01a3-faf2-eb24-c2bb-3714cbf3e474,Female,Very Conservative,Some College,25-34,2.0,96.0,False,0.7126436781609196,1,2,3,2,138,36
1,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,MA,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,5.0,85.0,True,0.821917808219178,4,2,4,2,196,18
7,False,100.0,It is certainly correct,False,96.0,It is probably correct,True,MS,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,1.0,15.0,False,0.881578947368421,4,2,4,2,196,24
8,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,IA,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,15.0,81.0,True,0.9014084507042254,4,2,4,2,196,11
9,False,100.0,It is certainly correct,True,90.0,It is probably correct,True,NM,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,14.0,87.0,False,0.7671232876712328,4,2,4,2,196,31
10,True,100.0,It is certainly correct,True,99.0,It is certainly correct,True,WA,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,13.0,21.0,True,0.6944444444444444,4,2,4,2,196,46
11,True,100.0,It is certainly correct,False,100.0,It is certainly correct,True,WV,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,12.0,27.0,True,0.8227848101265823,4,2,4,2,196,48
12,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,VA,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,7.0,91.0,True,0.8795180722891566,4,2,4,2,196,44
13,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,MT,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,15.0,67.0,True,0.7865168539325843,4,2,4,2,196,25
14,True,100.0,It is certainly correct,True,95.0,It is probably correct,True,AK,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,9.0,13.0,True,0.8108108108108109,4,2,4,2,196,0
19,True,100.0,It is certainly correct,True,97.0,It is probably correct,True,NY,7ce69323-cb9a-794e-1b3b-a5cd418f0af6,Female,Liberal,High School,25-34,2.0,32.0,True,0.8461538461538461,4,2,4,2,196,33
0,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,UT,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,3.0,33.0,True,0.875,5,2,2,1,393,43
1,False,75.0,It is probably correct,True,100.0,It is certainly correct,True,PA,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,11.0,39.0,False,0.6865671641791045,5,2,2,1,393,37
5,True,76.0,It is probably correct,True,100.0,It is certainly correct,True,KY,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,13.0,61.0,True,0.6029411764705882,5,2,2,1,393,16
6,False,100.0,It is certainly correct,False,100.0,It is certainly correct,True,MO,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,8.0,62.0,False,0.7222222222222222,5,2,2,1,393,23
8,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,OH,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,3.0,12.0,True,0.9571428571428572,5,2,2,1,393,34
9,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,DE,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,2.0,16.0,True,0.7764705882352941,5,2,2,1,393,7
10,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,OR,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,8.0,9.0,True,0.7126436781609196,5,2,2,1,393,36
11,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,GA,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,2.0,47.0,True,0.8072289156626506,5,2,2,1,393,9
12,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,ND,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,9.0,11.0,True,0.7361111111111112,5,2,2,1,393,27
15,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NH,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,11.0,44.0,True,0.7560975609756098,5,2,2,1,393,29
16,False,50.0,It is probably correct,True,100.0,It is certainly correct,True,WV,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,14.0,0.0,False,0.8227848101265823,5,2,2,1,393,48
18,True,75.0,It is probably correct,True,100.0,It is certainly correct,True,WA,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,6.0,96.0,True,0.6944444444444444,5,2,2,1,393,46
19,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,KS,f3670dcc-bf18-e7a3-9ad4-3b4c001e9019,Female,Very Liberal,College,18-24,9.0,21.0,True,0.75,5,2,2,1,393,15
5,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NY,293b29ad-0ae5-c33e-c6b5-1f10d6f2d478,Female,Liberal,College,35-44,8.0,11.0,True,0.8461538461538461,4,2,2,3,61,33
7,True,100.0,It is certainly correct,True,81.0,It is probably correct,True,RI,293b29ad-0ae5-c33e-c6b5-1f10d6f2d478,Female,Liberal,College,35-44,5.0,49.0,True,0.9411764705882353,4,2,2,3,61,38
10,False,100.0,It is certainly correct,False,94.0,It is probably correct,True,NH,293b29ad-0ae5-c33e-c6b5-1f10d6f2d478,Female,Liberal,College,35-44,9.0,55.0,False,0.7560975609756098,4,2,2,3,61,29
12,False,93.0,It is probably correct,True,100.0,It is certainly correct,True,AZ,293b29ad-0ae5-c33e-c6b5-1f10d6f2d478,Female,Liberal,College,35-44,12.0,62.0,False,0.8555555555555555,4,2,2,3,61,3
13,True,100.0,It is certainly correct,True,99.0,It is probably correct,True,MN,293b29ad-0ae5-c33e-c6b5-1f10d6f2d478,Female,Liberal,College,35-44,8.0,82.0,True,0.7534246575342466,4,2,2,3,61,22
14,False,100.0,It is certainly correct,True,100.0,It is certainly correct,True,NV,293b29ad-0ae5-c33e-c6b5-1f10d6f2d478,Female,Liberal,College,35-44,5.0,97.0,False,0.7142857142857143,4,2,2,3,61,32
15,True,100.0,It is certainly correct,False,100.0,It is certainly correct,True,NJ,293b29ad-0ae5-c33e-c6b5-1f10d6f2d478,Female,Liberal,College,35-44,9.0,51.0,True,0.7045454545454546,4,2,2,3,61,30
17,True,100.0,It is certainly correct,True,100.0,It is probably correct,True,ID,293b29ad-0ae5-c33e-c6b5-1f10d6f2d478,Female,Liberal,College,35-44,2.0,20.0,True,0.8051948051948052,4,2,2,3,61,12
18,True,100.0,It is certainly correct,False,100.0,It is certainly correct,True,WI,293b29ad-0ae5-c33e-c6b5-1f10d6f2d478,Female,Liberal,College,35-44,9.0,30.0,True,0.8169014084507042,4,2,2,3,61,47
1,True,86.0,I am unsure if it is correct,True,87.0,It is probably correct,True,LA,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,1.0,28.0,True,0.8142857142857143,3,1,2,3,209,17
2,True,100.0,It is probably correct,True,90.0,It is probably correct,True,CO,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,6.0,70.0,True,0.8518518518518519,3,1,2,3,209,5
3,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,TN,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,3.0,94.0,True,0.8082191780821918,3,1,2,3,209,41
4,False,87.0,I am unsure if it is correct,False,83.0,I am unsure if it is correct,True,KS,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,7.0,51.0,False,0.75,3,1,2,3,209,15
7,False,83.0,I am unsure if it is correct,False,83.0,I am unsure if it is correct,True,SC,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,7.0,66.0,False,0.7777777777777778,3,1,2,3,209,39
8,True,85.0,I am unsure if it is correct,True,81.0,I am unsure if it is correct,True,IA,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,13.0,31.0,True,0.9014084507042254,3,1,2,3,209,11
11,True,82.0,I am unsure if it is correct,False,87.0,I am unsure if it is correct,True,NH,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,11.0,59.0,True,0.7560975609756098,3,1,2,3,209,29
13,True,98.0,It is certainly correct,True,95.0,It is certainly correct,True,OK,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,5.0,41.0,True,0.8481012658227848,3,1,2,3,209,35
15,False,89.0,I am unsure if it is correct,False,81.0,I am unsure if it is correct,True,PA,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,5.0,74.0,False,0.6865671641791045,3,1,2,3,209,37
16,True,85.0,It is probably correct,False,83.0,I am unsure if it is correct,True,NY,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,1.0,97.0,True,0.8461538461538461,3,1,2,3,209,33
18,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,MD,8403681e-0276-ed38-fe06-5e28f6039bc7,Male,Moderate,College,35-44,9.0,24.0,True,0.7261904761904762,3,1,2,3,209,19
